amc     amc_ambassador_dpl  15  8  390  190  3850  8.5  70  American
amc     amc_gremlin  21  6  199  90  3852  15.0  70  American
audi    audi_100_ls  24  4  107  90  2430  14.5  70  European
plymouth  plymouth_duster  22  6  198  95  2833  15.5  70  American
peugeot   peugeot_504  25  4  110  87  2672  17.5  70  European
chevrolet chevrolet_impala  14  8  454  220  4354  9.0  70  American
toyota   toyota_corona  21  4  134  90  2395  14.0  70  Japanese
ford     ford_pinto  25  4  98  88  2130  14.5  71  American
datsun   datsun_510  27  4  97  88  2130  14.5  71  Japanese
volkswagen volkswagen_squareback  27  4  97  60  2125  14.5  71  European
amc     amc_matador  16  8  304  150  3672  11.5  73  American
chevrolet chevrolet_vega  22  4  140  75  2670  17.0  71  American
honda   honda_civic  30  4  75  70  1955  18.5  72  Japanese
mazda   mazda_rx3  18  3  70  95  2375  13.5  72  Japanese
ford     ford_mustang  18  8  302  140  3449  10.5  73  American
fiat    fiat_124  28  4  90  75  2108  14.5  72  European
oldsmobile oldsmobile_delta_88  14  8  350  180  4450  10.5  72  American
toyota   toyota_corolla  31  4  79  65  1773  19.0  73  Japanese
mercedes mercedes_220  22  4  121  97  3190  14.5  72  European
plymouth plymouth_satellite  17  8  318  150  4077  10.0  74  American
